fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211012 043259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0838875551441312	0.125185905673285	4309	159	0.0281002236251567	119	7488124.960875
20211012 043703	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0295422273044102	0.864753385010664	4851	678	0.0348857467203036	120	7915749.9563375
20211012 044259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	233	TRUE	0.0180311141435243	0.855784194315993	4768	940	0.0330587116969989	121	7885749.9566375
20211012 044721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0221064527454972	0.765590981786908	4885	238	0.0330927030466155	122	7836874.9544375
20211012 045056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	124	TRUE	0.0279539189449884	0.916350356196263	6093	319	0.0301312067380882	123	7791124.9593125
20211012 045243	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.0691091903297417	0.304586166324629	5790	829	0.0314993585479418	124	7952624.9559875
20211012 045428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0638205054929107	0.213140108554647	6374	236	0.0307005618434231	125	7770624.9575375
20211012 045947	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.011882366392985	0.286784006757895	4291	762	0.0285336133290509	126	7860124.9579
20211012 050345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	137	TRUE	0.0271205316588655	0.903029600488232	2097	44	0.0334623589733246	127	8084374.95475
20211012 050540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0386372447889671	0.133082668497181	2670	372	0.0334836035631703	128	7665499.95625
20211012 050818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0682581035708077	0.577540661794506	4574	395	0.0309087588587096	129	7863874.957425
20211012 051151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0421707207705081	0.62884219073453	4142	246	0.0335558351836018	130	7789374.9555
20211012 051454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0452541794901155	0.653216840942344	4567	935	0.0367680176873195	131	7880249.953825
20211012 051721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.083582915835008	0.564089236870292	6499	928	0.0346817986226038	132	8003124.955875
20211012 052049	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	130	TRUE	0.0372289101321064	0.895810995570454	6230	50	0.032145194185559	133	7858499.9553
20211012 052653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	196	TRUE	0.0179534242946282	0.985143405329599	2189	662	0.0310999601994003	134	7906874.9567625
20211012 055134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0399050586908497	0.399033642892586	1592	853	0.0320049798767289	135	8442499.9549
