fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211013 071541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	120	TRUE	0.0262272822391186	0.787800205667393	1993	615	16	2	0.0310319774959181	90	8273124.9583125
20211013 072035	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	153	TRUE	0.0302981347359682	0.816462509826023	2562	807	15	1	0.0350259610340199	91	8450249.95565
20211013 072409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	87	TRUE	0.0300903041630964	0.815047216085261	1361	749	14	0	0.0302586743013812	92	8259749.9577375
20211013 072856	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	157	TRUE	0.0345822712359585	0.805877755597951	3096	805	17	1	0.0363388769007996	93	8248499.9543625
20211013 073346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	159	TRUE	0.0360227806388582	0.78466118109801	2247	493	19	7	0.0304753691537532	94	8042999.9578875
20211013 073917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	198	TRUE	0.0252443127959932	0.818952995316749	1548	165	18	76	0.0316863109597861	95	8087499.959975
20211013 074613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	288	TRUE	0.0297996312151434	0.416302269927982	5898	776	7	131	0.0328037765721124	96	7967999.957925
20211013 075407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	312	TRUE	0.0379668199180872	0.767012992768176	3974	811	7	81	0.0333986251901909	97	8213124.955875
20211013 080143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	286	TRUE	0.0293692123227992	0.853820884848783	2937	819	17	9	0.0332796554697194	98	8269374.9553625
20211013 080926	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	327	TRUE	0.026786329753697	0.715964107194106	2805	781	8	191	0.0343886232307264	99	8100624.957375
20211013 081544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	236	TRUE	0.0376399158278066	0.720815501797492	3008	725	15	49	0.0341804262220257	100	8175624.95575
20211013 082009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	134	TRUE	0.029973809825801	0.820636781089568	2695	331	15	1	0.0365300782395782	101	8388124.9546375
20211013 085724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	158	TRUE	0.0300004417657916	0.798778667957233	2151	731	14	9	0.0297488040635052	102	8465124.9583
